1,14.6667,5,2.33333
2,50.6667,12,18.3333
3,46.6667,36.3333,41.6667
4,18.6667,38,64
5,22,90,70
6,51.6667,127.667,143.333
7,34,104,112.333
8,30.3333,115.333,263
9,31.6667,201.333,157.667
10,22.3333,236.667,215.333
11,29,313,246.333
12,32.6667,301.667,296.667
13,35,342.667,347
14,40,346,350
15,41.6667,388.667,497
16,45,395,479.667
17,61.6667,717.333,596.333
18,49.6667,818,604
19,53.3333,920.333,562.667
20,87.6667,1066.33,634.333
21,61,1104,672.667
22,79.3333,1141.33,847.667
23,70.6667,1210.67,814.333
24,69.6667,1218,934
25,188,1793,1243
26,82.3333,1399,1036.67
27,82.6667,1472,1238
28,108.333,1562.67,1375
29,91.3333,1560.67,1275
30,123,1540.33,1292.33
31,98,1545.33,1421.67
32,102,1597,1450
33,110.667,2550.67,1504
34,122.333,3376,1997
35,162.667,3749.67,1634
36,128.667,3565.67,1870.33
37,136,3694.33,1948.33
38,165.333,4000.33,1916
39,162.667,4462.33,1915.67
40,159.333,4191.33,2153
41,190.333,4870,2490
42,159.333,4658,2842.67
43,240.333,4785.67,2428.33
44,173.667,5105.67,2280.67
45,250.667,5296.33,2623.33
46,177.333,4843.67,2544.33
47,197,4960.33,2597
48,192.333,4958.33,2811.67
49,202.667,5424,3008.33
50,211.333,5518,3266
51,280.333,7025.33,4424.67
52,252,5911,3811.67
53,353,6723.33,4111.67
54,240.333,6300,3719.67
55,249.333,5843.33,3398.33
56,290.667,6044.67,3558.33
57,260,6053.33,3901
58,253.333,6114.67,3585.33
59,307.333,6195.67,4125.67
60,264.333,6513,3980.33
61,296,6480,4251.33
62,292.333,6278.67,4304.33
63,287.667,6461.67,4408
64,349.667,6478.67,4728
65,311,9450,4799.67
66,434.333,13218.3,5851
67,433.667,13269.7,5675
68,325,11763.3,5087.67
69,337,12833.7,4978
70,465.333,12895.3,5046.67
71,365.333,13309,5373
72,356.667,13832,5261.67
73,383.667,15090,5691.33
74,602,16665.3,6018
75,382.333,15445.7,5726.67
76,387.667,15876,6013.67
77,562.333,22841,8982.33
78,481.333,16405.3,6437
79,444.333,16599.3,6270.33
80,421,16323.3,6305.33
81,429.667,17250,6322.67
82,461,17679.3,6648
83,453,18155,6770.67
84,456.333,17930,6687.33
85,535.667,20823,7916.67
86,473.667,19052.3,6970.67
87,491.333,19396.3,8666
88,578.667,22231.3,8266.67
89,534.333,19453.3,7446
90,510.333,19953,7775.33
91,535,20756.7,8181.33
92,640,20199,8554.67
93,540.667,19758.3,8282.33
94,603,20084.3,8197.33
95,578,19842.3,8511
96,579.667,20730,8500
97,583.333,22391.7,9210
98,1028.67,25353,9846
99,741,22192,8987.67
100,661.667,21812,8765.67
101,625,23132.3,9209.67
102,629,22720,9602.33
103,662,22920.7,9432.67
104,776.667,24389.3,10696.7
105,661.333,23087,10010.3
106,703.333,27895.7,13538.3
107,859,26943.3,10806.3
108,881.667,28162,12685.7
109,729.333,23574.7,10139.7
110,723.333,23533.3,10806
111,742.667,23679.7,11022.7
112,758.667,23640.3,10948.7
113,817.667,24123.7,10910.7
114,838.667,27548.3,12092.7
115,869,27788,12178.7
116,791.667,24737.3,11686.3
117,801.333,24811.3,12471
118,821.667,24927.7,11620
119,816,25152.7,12387.7
120,882.333,24976.7,12315.7
121,917,25069.3,12300
122,924,29155.7,14351.7
123,1114,26776.7,12498
124,882.333,25621,13188
125,919.333,25508,13009.7
126,939.333,25435.7,13071.3
127,967.667,25595.7,13490.7
128,954,25861.3,13530
